player_1,player_2,Winner,Location,Tournament,Date,Series,Court,Best of,Surface,Round,elo_player_1,elo_player_2,surface_elo_player_1,surface_elo_player_2,days_since_1,days_since_2,form5_1,form5_2,form10_1,form10_2,avg_opp5_1,avg_opp5_2,avg_opp10_1,avg_opp10_2
Khachanov K.,Mager G.,player_1,Adelaide,Adelaide International 2,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1533.4357999725592,1516.7040225341211,1533.4357999725592,1516.7040225341211,3.0,1.0,0.8,0.5,0.8,0.5,1529.496615893531,1516.1833332000087,1529.496615893531,1516.1833332000087
Johnson S.,Vukic A.,player_2,Adelaide,Adelaide International 2,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1514.5612260339533,1500.736306793522,1514.5612260339533,1500.736306793522,1.0,2.0,0.5,0.6666666666666666,0.5,0.6666666666666666,1496.1840766983805,1504.8537420113178,1496.1840766983805,1504.8537420113178
Kokkinakis T.,Isner J.,player_1,Adelaide,Adelaide International 2,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1545.2514385571324,1500.0,1545.2514385571324,1500.0,1.0,,0.8,0.0,0.8333333333333334,0.0,1513.0877547932093,1545.2514385571324,1510.9064623276745,1545.2514385571324
Goffin D.,Kudla D.,player_1,Sydney,Sydney Tennis Classic,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1501.4049280472937,1516.0,1501.4049280472937,1516.0,2.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,1510.421231068826,1500.7024640236468,1510.421231068826,1500.7024640236468
Murray A.,Basilashvili N.,player_1,Sydney,Sydney Tennis Classic,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1500.736306793522,1500.0,1500.736306793522,1500.0,1.0,,0.6666666666666666,0.0,0.6666666666666666,0.0,1500.0,1500.736306793522,1500.0,1500.736306793522
Thompson J.,Opelka R.,player_2,Sydney,Sydney Tennis Classic,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1515.263693206478,1484.736306793522,1515.263693206478,1484.736306793522,2.0,6.0,0.5,0.5,0.5,0.5,1496.1840766983805,1515.631846603239,1496.1840766983805,1515.631846603239
Karatsev A.,Kecmanovic M.,player_1,Sydney,Sydney Tennis Classic,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1500.0,1515.263693206478,1500.0,1515.263693206478,,1.0,1.0,0.5,1.0,0.5,1515.263693206478,1492.0,1515.263693206478,1492.0
Lajovic D.,Cressy M.,player_2,Sydney,Sydney Tennis Classic,2022-01-13,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1558.5248879579121,1516.0,1558.5248879579121,2.0,2.0,0.5,0.8,0.5,0.8571428571428571,1529.262443978956,1519.7746195759264,1529.262443978956,1514.1247282685188
Sonego L.,Karatsev A.,player_2,Sydney,Sydney Tennis Classic,2022-01-13,ATP250,Outdoor,3.0,Hard,Quarterfinals,1531.263693206478,1516.7024671725246,1531.263693206478,1516.7024671725246,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1505.5674890575083,1523.263693206478,1505.5674890575083,1523.263693206478
Opelka R.,Nakashima B.,player_1,Sydney,Sydney Tennis Classic,2022-01-13,ATP250,Outdoor,3.0,Hard,Quarterfinals,1502.13853822723,1531.263693206478,1502.13853822723,1531.263693206478,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1520.8424621376519,1500.4674104779026,1520.8424621376519,1500.4674104779026
